HouseNumber,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,SalePrice,SalePriceN
1,60,RL,65,8450,Reg,Inside,MeadowV,91000,<150k
2,20,RL,80,9600,IR1,Inside,NAmes,135750,<150k
3,60,RL,68,11250,Reg,Inside,BrkSide,127000,<150k
4,70,RL,60,9550,Reg,Inside,Sawyer,136500,<150k
5,60,RL,84,14260,Reg,Corner,OldTown,110000,<150k
6,50,RL,85,14115,Reg,Corner,NAmes,193500,>150k
7,20,RL,75,10084,Reg,FR2,Mitchel,153500,>150k
8,60,RL,NA,10382,Reg,Inside,Somerst,245000,>150k
9,50,RM,51,6120,IR1,Inside,NAmes,126500,<150k
10,190,RL,50,7420,IR1,Inside,Gilbert,168500,>150k
11,20,RL,70,11200,Reg,Corner,NoRidge,260000,>150k
12,60,RL,85,11924,IR2,Inside,Gilbert,174000,>150k
13,20,RL,NA,12968,Reg,Corner,Somerst,164500,>150k
14,20,RL,91,10652,IR1,Corner,IDOTRR,85000,<150k
15,20,RL,NA,10920,Reg,Inside,CollgCr,123600,<150k
16,45,RM,51,6120,Reg,Inside,NAmes,109900,<150k
17,20,RL,NA,11241,Reg,Inside,NAmes,98600,<150k
18,90,RL,72,10791,IR1,Inside,Crawfor,163500,>150k
19,20,RL,66,13695,Reg,Corner,OldTown,133900,<150k
20,20,RL,70,7560,IR1,Inside,CollgCr,204750,>150k
21,60,RL,101,14215,IR2,Corner,Gilbert,185000,>150k
22,45,RM,57,7449,IR1,Inside,CollgCr,214000,>150k
23,20,RL,75,9742,Reg,Inside,Edwards,94750,<150k
24,120,RM,44,4224,Reg,Corner,Edwards,83000,<150k
25,20,RL,NA,8246,IR1,Inside,NAmes,128950,<150k
26,20,RL,110,14230,IR1,Inside,NWAmes,205000,>150k
27,20,RL,60,7200,Reg,Inside,SawyerW,178000,>150k
28,20,RL,98,11478,Reg,Inside,SawyerW,118964,<150k
29,20,RL,47,16321,IR1,Corner,CollgCr,198900,>150k
30,30,RM,60,6324,Reg,Corner,IDOTRR,169500,>150k
31,70,C (all),50,8500,Reg,Inside,Somerst,250000,>150k
32,20,RL,NA,8544,Reg,Inside,OldTown,100000,<150k
33,20,RL,85,11049,Reg,Inside,OldTown,115000,<150k
34,20,RL,70,10552,Reg,Corner,IDOTRR,115000,<150k
35,120,RL,60,7313,IR1,Inside,NWAmes,190000,>150k
36,60,RL,108,13418,Reg,Inside,Edwards,136900,<150k
37,20,RL,112,10859,IR1,Inside,Gilbert,180000,>150k
38,20,RL,74,8532,Reg,Inside,CollgCr,383970,>150k
39,20,RL,68,7922,Reg,Corner,Crawfor,217000,>150k
40,90,RL,65,6040,IR1,Inside,Crawfor,259500,>150k
41,20,RL,84,8658,Reg,Corner,Somerst,176000,>150k
